Sample, R1, STROBE, L
38246, 0, 1, 0
38252, 0, 0, 0
38257, 0, 1, 0
38262, 0, 0, 0
38267, 0, 1, 0
38272, 0, 0, 0
38277, 1, 1, 0
38283, 1, 0, 0
38287, 1, 1, 0
38293, 1, 0, 0
38298, 1, 1, 0
38303, 1, 0, 0
38308, 0, 1, 0
38313, 0, 0, 0
38318, 1, 1, 0
38324, 1, 0, 0
38328, 1, 1, 0
38334, 1, 0, 0
38339, 1, 1, 0
38344, 1, 0, 0
38348, 0, 0, 0
38349, 0, 1, 0
38354, 0, 0, 0
38359, 0, 1, 0
38365, 0, 0, 0
38369, 0, 1, 0
38375, 0, 0, 0
38380, 0, 1, 0
38385, 0, 0, 0
38390, 0, 1, 0
38395, 0, 0, 0
38400, 0, 1, 0
38406, 0, 0, 0
38410, 0, 1, 0
38416, 0, 0, 0
38420, 0, 1, 0
38426, 0, 0, 0
38431, 0, 1, 0
38436, 0, 0, 0
38441, 1, 1, 0
38447, 1, 0, 0
38451, 1, 1, 0
38457, 1, 0, 0
38461, 1, 1, 0
38467, 1, 0, 0
38471, 0, 0, 0
38472, 0, 1, 0
38477, 0, 0, 0
38482, 1, 1, 0
38488, 1, 0, 0
38492, 1, 1, 0
38498, 1, 0, 0
38502, 1, 1, 0
38508, 1, 0, 0
38512, 0, 0, 0
38513, 0, 1, 0
38518, 0, 0, 0
38523, 0, 1, 0
38529, 0, 0, 0
38533, 0, 1, 0
38539, 0, 0, 0
38543, 0, 1, 0
38549, 0, 0, 0
38554, 0, 1, 0
38559, 0, 0, 0
38564, 0, 1, 0
38569, 0, 0, 0
38574, 0, 1, 0
38580, 0, 0, 0
38584, 0, 1, 0
38590, 0, 0, 0
38595, 0, 1, 0
38600, 0, 0, 0
38604, 1, 0, 0
38605, 1, 1, 0
38610, 1, 0, 0
38615, 1, 1, 0
38621, 1, 0, 0
38625, 1, 1, 0
38631, 1, 0, 0
38635, 0, 0, 0
38636, 0, 1, 0
38641, 0, 0, 0
38645, 1, 0, 0
38646, 1, 1, 0
38651, 1, 0, 0
38656, 1, 1, 0
38662, 1, 0, 0
38666, 1, 1, 0
38672, 1, 0, 0
38676, 0, 0, 1
38677, 0, 1, 1
38682, 0, 0, 1
38687, 0, 1, 1
38692, 0, 0, 1
38697, 0, 1, 1
38703, 0, 0, 1
38707, 0, 1, 1
38713, 0, 0, 1
38717, 0, 0, 0
38799, 0, 1, 1
38805, 0, 0, 1
38810, 0, 1, 1
38815, 0, 0, 1
38820, 0, 1, 1
38825, 0, 0, 1
38830, 0, 1, 1
38836, 0, 0, 1
38840, 0, 1, 1
