Sample, R1, STROBE, L
488303, 0, 0, 0
488309, 0, 1, 0
488316, 0, 0, 0
488322, 0, 1, 0
488329, 0, 0, 0
488335, 0, 1, 0
488342, 0, 0, 0
488348, 0, 1, 0
488355, 0, 0, 0
488360, 1, 1, 0
488367, 1, 0, 0
488373, 1, 1, 0
488380, 1, 0, 0
488386, 1, 1, 0
488393, 1, 0, 0
488398, 0, 0, 0
488399, 0, 1, 0
488406, 0, 0, 0
488411, 1, 0, 0
488412, 1, 1, 0
488419, 1, 0, 0
488424, 1, 1, 0
488431, 1, 0, 0
488437, 1, 1, 0
488444, 1, 0, 0
488450, 0, 1, 0
488457, 0, 0, 0
488463, 0, 1, 0
488470, 0, 0, 0
488476, 0, 1, 0
488483, 0, 0, 0
488488, 0, 1, 0
488495, 0, 0, 0
488501, 0, 1, 0
488508, 0, 0, 0
488514, 0, 1, 0
488521, 0, 0, 0
488527, 0, 1, 0
488534, 0, 0, 0
488540, 0, 1, 0
488547, 0, 0, 0
488552, 0, 1, 0
488559, 0, 0, 0
488565, 1, 1, 0
488572, 1, 0, 0
488578, 1, 1, 0
488585, 1, 0, 0
488591, 1, 1, 0
488598, 1, 0, 0
488603, 0, 0, 0
488604, 0, 1, 0
488611, 0, 0, 0
488616, 1, 1, 0
488623, 1, 0, 0
488629, 1, 1, 0
488636, 1, 0, 0
488642, 1, 1, 0
488649, 1, 0, 0
488654, 0, 0, 0
488655, 0, 1, 0
488662, 0, 0, 0
488668, 0, 1, 0
488675, 0, 0, 0
488680, 0, 1, 0
488687, 0, 0, 0
488693, 0, 1, 0
488700, 0, 0, 0
488706, 0, 1, 0
488713, 0, 0, 0
488719, 0, 1, 0
488726, 0, 0, 0
488732, 0, 1, 0
488739, 0, 0, 0
488744, 0, 1, 0
488751, 0, 0, 0
488757, 0, 1, 0
488764, 0, 0, 0
488770, 1, 1, 0
488777, 1, 0, 0
488783, 1, 1, 0
488790, 1, 0, 0
488796, 1, 1, 0
488803, 1, 0, 0
488808, 0, 1, 0
488815, 0, 0, 0
488821, 1, 1, 0
488828, 1, 0, 0
488834, 1, 1, 0
488841, 1, 0, 0
488847, 1, 1, 0
488854, 1, 0, 0
488859, 0, 0, 1
488860, 0, 1, 1
488867, 0, 0, 1
488872, 0, 1, 1
488879, 0, 0, 1
488885, 0, 1, 1
488892, 0, 0, 1
488898, 0, 1, 1
488905, 0, 0, 1
488911, 0, 0, 0
489013, 0, 1, 1
489020, 0, 0, 1
489026, 0, 1, 1
489033, 0, 0, 1
489039, 0, 1, 1
489046, 0, 0, 1
489052, 0, 1, 1
489059, 0, 0, 1
489064, 0, 1, 1
489071, 0, 0, 1
489077, 0, 1, 1
489084, 0, 0, 1
489090, 0, 1, 1
489097, 0, 0, 1
489103, 0, 1, 1
489110, 0, 0, 1
489116, 0, 1, 1
489123, 0, 0, 1
489128, 0, 1, 1
489135, 0, 0, 1
