Sample, R1, STROBE, L
178270, 0, 1, 0
178277, 0, 0, 0
178282, 0, 1, 0
178289, 0, 0, 0
178295, 0, 1, 0
178302, 0, 0, 0
178308, 0, 1, 0
178315, 0, 0, 0
178320, 1, 0, 0
178321, 1, 1, 0
178328, 1, 0, 0
178334, 1, 1, 0
178341, 1, 0, 0
178346, 1, 1, 0
178353, 1, 0, 0
178359, 0, 1, 0
178366, 0, 0, 0
178371, 1, 0, 0
178372, 1, 1, 0
178379, 1, 0, 0
178385, 1, 1, 0
178392, 1, 0, 0
178398, 1, 1, 0
178405, 1, 0, 0
178410, 0, 1, 0
178417, 0, 0, 0
178423, 0, 1, 0
178430, 0, 0, 0
178436, 0, 1, 0
178443, 0, 0, 0
178449, 0, 1, 0
178456, 0, 0, 0
178462, 0, 1, 0
178469, 0, 0, 0
178474, 0, 1, 0
178481, 0, 0, 0
178487, 0, 1, 0
178494, 0, 0, 0
178500, 0, 1, 0
178507, 0, 0, 0
178513, 0, 1, 0
178520, 0, 0, 0
178525, 1, 0, 0
178526, 1, 1, 0
178533, 1, 0, 0
178538, 1, 1, 0
178545, 1, 0, 0
178551, 1, 1, 0
178558, 1, 0, 0
178563, 0, 0, 0
178564, 0, 1, 0
178571, 0, 0, 0
178576, 1, 0, 0
178577, 1, 1, 0
178584, 1, 0, 0
178590, 1, 1, 0
178597, 1, 0, 0
178602, 1, 1, 0
178609, 1, 0, 0
178615, 0, 1, 0
178622, 0, 0, 0
178628, 0, 1, 0
178635, 0, 0, 0
178641, 0, 1, 0
178648, 0, 0, 0
178654, 0, 1, 0
178661, 0, 0, 0
178666, 0, 1, 0
178673, 0, 0, 0
178679, 0, 1, 0
178686, 0, 0, 0
178692, 0, 1, 0
178699, 0, 0, 0
178705, 0, 1, 0
178712, 0, 0, 0
178718, 0, 1, 0
178725, 0, 0, 0
178730, 1, 1, 0
178737, 1, 0, 0
178743, 1, 1, 0
178750, 1, 0, 0
178756, 1, 1, 0
178763, 1, 0, 0
178768, 0, 0, 0
178769, 0, 1, 0
178776, 0, 0, 0
178781, 1, 0, 0
178782, 1, 1, 0
178789, 1, 0, 0
178794, 1, 1, 0
178801, 1, 0, 0
178807, 1, 1, 0
178814, 1, 0, 0
178820, 0, 1, 1
178827, 0, 0, 1
178833, 0, 1, 1
178840, 0, 0, 1
178846, 0, 1, 1
178853, 0, 0, 1
178858, 0, 1, 1
178865, 0, 0, 1
178871, 0, 0, 0
178973, 0, 0, 1
178974, 0, 1, 1
178981, 0, 0, 1
178986, 0, 1, 1
178993, 0, 0, 1
178999, 0, 1, 1
179006, 0, 0, 1
179012, 0, 1, 1
179019, 0, 0, 1
179025, 0, 1, 1
179032, 0, 0, 1
179038, 0, 1, 1
179045, 0, 0, 1
179050, 0, 1, 1
179057, 0, 0, 1
179063, 0, 1, 1
179070, 0, 0, 1
179076, 0, 1, 1
179083, 0, 0, 1
179089, 0, 1, 1
179096, 0, 0, 1
179102, 0, 1, 1
179109, 0, 0, 1
179114, 0, 1, 1
